epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.286,2.50564,4.77966,1.73416,0.85435,0.84049,0.92148,0.53187,1.77248,2.06927,1.42892,0.0802244,9.9375e-05,9.9375e-05
2,187.719,2.05474,2.52993,1.52541,0.92608,0.92236,0.95817,0.54107,1.87871,1.80624,1.48359,0.0603237,0.000198711,0.000198711
3,252.802,1.84444,2.18898,1.41381,0.82738,0.85276,0.87304,0.46578,2.16046,2.09302,1.60954,0.0404224,0.000297381,0.000297381
4,317.245,1.77267,2.01649,1.39413,0.83841,0.95497,0.91271,0.5572,1.58993,1.86516,1.32138,0.0205204,0.000395385,0.000395385
5,379.739,1.70783,1.87891,1.36877,0.92728,0.9388,0.96505,0.5698,1.82515,1.89281,1.40466,0.000617723,0.000492723,0.000492723
6,441.658,1.62107,1.51871,1.32233,0.88665,0.95982,0.95516,0.60055,1.7459,1.76384,1.40718,0.000491675,0.000491675,0.000491675
7,503.671,1.52132,1.70273,1.32127,0.79197,0.93423,0.89621,0.53937,1.79399,1.94025,1.43413,0.00049001,0.00049001,0.00049001
8,566.017,1.5519,1.8493,1.38051,0.94852,0.96319,0.97436,0.59668,1.76173,2.37642,1.40818,0.000488345,0.000488345,0.000488345
9,628.294,1.53004,1.67288,1.3012,0.95595,0.95706,0.97248,0.61089,1.70032,1.66283,1.40486,0.00048668,0.00048668,0.00048668
10,690.429,1.57113,1.7059,1.32966,0.94113,0.96933,0.9689,0.69002,1.38951,1.45689,1.27822,0.000485015,0.000485015,0.000485015
11,751.989,1.50487,1.41477,1.31571,0.96915,0.96358,0.97906,0.61039,1.77791,1.5898,1.42306,0.00048335,0.00048335,0.00048335
12,814.482,1.52852,1.65132,1.29436,0.99273,0.9816,0.98625,0.72012,1.38904,1.23408,1.2674,0.000481685,0.000481685,0.000481685
13,874.644,1.48727,1.44411,1.288,0.8686,0.93865,0.91386,0.53323,1.83348,1.65565,1.43634,0.00048002,0.00048002,0.00048002
14,935.866,1.452,1.49569,1.29139,0.96789,0.96933,0.98232,0.67836,1.49473,1.268,1.30818,0.000478355,0.000478355,0.000478355
1,112.809,2.59599,4.65903,1.77837,0.7915,0.87117,0.87445,0.45347,2.07831,2.35729,1.56535,0.0802244,9.9375e-05,9.9375e-05
2,173.511,2.04657,2.45394,1.52062,0.85848,0.85598,0.88973,0.4797,2.05922,1.95656,1.60443,0.0603237,0.000198711,0.000198711
3,233.894,1.81131,2.0456,1.42338,0.86849,0.90798,0.91777,0.54428,1.83392,1.94813,1.45987,0.0404224,0.000297381,0.000297381
